year,words,c
1971,chicago,1
1971,chicagoohare,1
1971,city,1
1971,clear,1
1971,clearance,1
1971,climbing,1
1971,clipper,1
1971,clouds,1
1971,cockpit,1
1971,cold,1
1971,collapsed,1
1971,collision,1
1971,command,1
1971,commands,1
1971,compartment,1
1971,complete,1
1971,conduits,1
1971,confirmed,1
1971,consequently,1
1971,constellation,1
1971,continued,1
1971,copenhagen,1
1971,corps,1
1971,cottages,1
1971,crash,1
1971,crewmember,1
1971,cruising,1
1971,cruz,1
1971,cts,1
1971,cuba,1
1971,cubi,1
1971,daggett,1
1971,de,1
1971,decided,1
1971,decompression,1
1971,defense,1
1971,deicing,1
1971,delay,1
1971,denmark,1
1971,deplane,1
1971,depression,1
1971,descended,1
1971,descending,1
1971,descent,1
1971,desired,1
1971,detached,1
1971,deteriorating,1
1971,determined,1
1971,device,1
1971,difficulties,1
1971,difficulty,1
1971,disintegrated,1
1971,distortion,1
1971,dive,1
1971,domestic,1
1971,domingo,1
1971,drag,1
1971,east,1
1971,eastern,1
1971,edge,1
1971,ejection,1
1971,electrical,1
1971,en,1
1971,end,1
1971,ended,1
1971,engaged,1
1971,engines,1
1971,enter,1
1971,entered,1
1971,estimate,1
1971,estimated,1
1971,eta,1
1971,excessive,1
1971,executed,1
1971,executing,1
1971,exercise,1
1971,extension,1
1971,failed,1
1971,fallon,1
1971,familiarization,1
1971,ferried,1
1971,final,1
1971,finally,1
1971,first,1
1971,fligh,1
1971,flights,1
1971,fly,1
1971,fog,1
1971,foggy,1
1971,fokker,1
1971,force,1
1971,forest,1
1971,forty,1
1971,forward,1
1971,four,1
1971,frame,1
1971,francisco,1
1971,freezing,1
1971,friendship,1
1971,ft,1
1971,full,1
1971,fuselage,1
1971,generator,1
1971,guadeloupe,1
1971,guam,1
1971,h,1
1971,ham,1
1971,hamburgfuhlsbüttel,1
1971,hard,1
1971,havana,1
1971,hawaii,1
1971,hi,1
1971,high,1
1971,highway,1
1971,hijacked,1
1971,hik,1
1971,hill,1
1971,hills,1
1971,hnd,1
1971,hong,1
1971,honoluluhickam,1
1971,horizontal,1
1971,hungary,1
1971,ignition,1
1971,il,1
1971,illinois,1
1971,ilyushin,1
1971,imc,1
1971,imposed,1
1971,inbound,1
1971,including,1
1971,inflight,1
1971,informed,1
1971,initiated,1
1971,injury,1
1971,inoperative,1
1971,instructed,1
1971,intercept,1
1971,interior,1
1971,international,1
1971,intersection,1
1971,iraq,1
1971,irkutsk,1
1971,israel,1
1971,italian,1
1971,italy,1
1971,ja,1
1971,jnu,1
1971,kamunay,1
1971,kg,1
1971,khartoum,1
1971,kiev,1
1971,killing,1
1971,knots,1
1971,kong,1
1971,lake,1
1971,late,1
1971,lateral,1
1971,lax,1
1971,leading,1
1971,leak,1
1971,leaving,1
1971,level,1
1971,lewiston,1
1971,lhr,1
1971,lights,1
1971,loads,1
1971,located,1
1971,logistics,1
1971,london,1
1971,loss,1
1971,lost,1
1971,lws,1
1971,maneuver,1
1971,marine,1
1971,maw,1
1971,mcdonnell,1
1971,meghamalai,1
1971,metres,1
1971,miami,1
1971,midway,1
1971,minute,1
1971,missions,1
1971,mitsubishibuilt,1
1971,moskvavnukovo,1
1971,mount,1
